#
# Output of gmd.f90: Using MINIMUM distance to solute.
# Input file: teste.dat.gmdinp
# DCD file: ./production.dcd
# Group file: teste.dat.gmdtemp
# PSF file: ./structure.psf
# First frame:       1 Last frame:    1000 Stride:       1
#
# Periodic boundary conditions: 
# Periodic: T Read from DCD: T
#
# Density of solvent in simulation box (sites/A^3):      0.00015
# Density of solvent in bulk (estimated) (sites/A^3):      0.00015
# Molar volume of solvent in simulation (cc/mol):   4042.93726
# Molar volume of solvent in bulk (estimated) (cc/mol):   3940.92749
#
# Solute partial volume estimate (cc/mol):   9182.18848
#
# Number of atoms and mass of group 1:    1463   11079.626
# First and last atoms of group 1:       1    1463
# Number of atoms and mass of group 2:    1260    6760.011
# First and last atoms of group 2:    1479    2738
#
#
# Average and standard deviation of long range (dbulk-1.) gmd:      1.01043+/-     0.03316
# COLUMNS CORRESPOND TO: 
#       1  Minimum distance to solute (dmin)
#       2  GMD distribution (md count normalized by md count of random-solute distribution). 
#       3  Kirwood-Buff integral (cc/mol) computed [(1/bulkdensity)*(col(6)-col(7))]. 
#       4  Minimum distance site count for each dmin.
#       5  Minimum distance site count for each dmin for random solute distribution.
#       6  Cumulative number of molecules within dmin in the simulation
#       7  Cumulative number of molecules within dmin for random solute distribution.
#       8  Volume of the shell of distance dmin and width binstep.
#
#   1-DISTANCE         2-GMD      3-KB INT    4-MD COUNT  5-COUNT RAND      6-SUM MD    7-SUM RAND   8-SHELL VOL
     0.0158740     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000
     0.0330193     0.0000000    -3.6386566     0.0000000     0.0009233     0.0000000     0.0009233     0.0000000
     0.0519249     0.0000000   -12.5331516     0.0000000     0.0022570     0.0000000     0.0031803     2.0140438
     0.0714004     0.0000000   -29.5135498     0.0000000     0.0043087     0.0000000     0.0074890     2.0140438
     0.0910977     0.0000000   -54.5798492     0.0000000     0.0063605     0.0000000     0.0138495     2.6853919
     0.1109017     0.0000000   -93.3921814     0.0000000     0.0098485     0.0000000     0.0236980     6.0421314
     0.1307647     0.0000000  -149.5892181     0.0000000     0.0142598     0.0000000     0.0379579     5.3707838
     0.1506637     0.0000000  -213.4678497     0.0000000     0.0162090     0.0000000     0.0541669     7.3848281
     0.1705862     0.0000000  -299.1784363     0.0000000     0.0217488     0.0000000     0.0759157    10.0702200
     0.1905248     0.0000000  -406.7209473     0.0000000     0.0272886     0.0000000     0.1032044    18.1263962
     0.2104751     0.0000000  -526.7965698     0.0000000     0.0304689     0.0000000     0.1336733    19.4690914
     0.2304340     0.0000000  -682.8545532     0.0000000     0.0395993     0.0000000     0.1732726    20.1404400
     0.2503994     0.0000000  -859.9358521     0.0000000     0.0449339     0.0000000     0.2182065    20.8117867
     0.2703699     0.0000000  -0.10629E+04     0.0000000     0.0514996     0.0000000     0.2697061    25.5112247
     0.2903444     0.0000000  -0.12909E+04     0.0000000     0.0578601     0.0000000     0.3275662    30.2106571
     0.3103222     0.0000000  -0.15573E+04     0.0000000     0.0676060     0.0000000     0.3951722    31.5533524
